Region,District,City,Address,Polling station number,Polling station code,Total number of voters,Number of voters who received a ballot,Number of voters who took part in the vote,Number of voters who took part in early voting,Number of voters who took part in the vote at the place of residence,Number of voters who took part in the vote on election day,Dmitriev,Konopackaya,Lukashenko,Tsikhanouskaya,Cherechen,Against all,Number of ballots declared invalid,Number of ballots received by the precinct commission,Number of spoiled ballots,Number of unused ballots
Брестская,Брест - Ленинский,Брест,"ул. Гоголя, 7, УО «Брестский государственный музыкальный колледж имени Г. Ширмы»",1,01-010-0001,1656,1329,1319,252,4,1063,21,16,464,701,16,96,5,1660,1,330
Брестская,Брест - Ленинский,Брест,"ул. Героев обороны Брестской крепости, 78, УО «Брестский государственный торгово-технологический колледж»",2,01-010-0002,2646,2249,2249,707,37,1505,43,25,994,948,32,194,13,2670,0,421
Брестская,Брест - Ленинский,Брест,"ул. Пригородная, 25, УО «Брестское государственное областное училище олимпийского резерва»",4,01-010-0004,1805,1717,1714,537,42,1135,32,26,1125,395,24,97,15,1880,0,163
Брестская,Брест - Ленинский,Брест,"ул. Смирнова, 21, общежитие ОАО «Брестский мясокомбинат»",5,01-010-0005,2270,2122,2122,863,23,1236,42,21,1506,412,50,91,,,,
Брестская,Брест - Ленинский,Брест,"ул. Смирнова, 63, ГУО «Средняя школа № 5 г. Бреста»",6,01-010-0006,2746,2383,2383,507,20,1856,53,28,923,1157,48,174,,,,
Брестская,Брест - Ленинский,Брест,"ул. Адамковская, 58/1, ГУО «Средняя школа № 27 г. Бреста»",7,01-010-0007,2319,1829,1829,249,56,1524,43,19,567,1010,44,146,,,,
Брестская,Брест - Ленинский,Брест,"ул. Бауманская, 40, УП «Брествторчермет»",8,01-010-0008,1955,1772,1772,297,56,1419,34,34,803,782,41,78,,,,
Брестская,Брест - Ленинский,Брест,"ул. л-та Рябцева, 110, КУП «Брестский городской ремонтно-строительный трест»",10,01-010-0010,1107,974,973,336,6,631,22,10,441,443,10,47,,,,
Брестская,Брест - Ленинский,Брест,"ул. Дубровская, 14, ГУО «Гимназия № 5 г. Бреста»",11,01-010-0011,1995,1807,1807,691,13,1103,26,19,984,682,15,81,,,,
Брестская,Брест - Ленинский,Брест,"пр. Машерова, 33, ГУО «Средняя школа № 13 г. Бреста имени В.И.Хована»",15,01-010-0015,1012,914,911,303,26,581,21,9,393,410,21,52,4,1080,1,168
Брестская,Брест - Ленинский,Брест,"ул. Ленина, 70, ГУО «Средняя школа № 18 г. Бреста»",17,01-010-0017,1442,1190,1190,235,113,842,6,5,608,500,7,64,0,1500,0,310
Брестская,Брест - Ленинский,Брест,"ул. Карбышева, 81, ГУО «Средняя школа № 20 г. Бреста имени Героя Советского Союза Д.М.Карбышева»",20,01-010-0020,837,624,624,139,16,469,16,11,199,336,7,46,9,,,
Брестская,Брест - Ленинский,Брест,"ул. Карбышева, 81, ГУО «Средняя школа № 20 г. Бреста имени Героя Советского Союза Д.М.Карбышева»",21,01-010-0021,1421,1116,1116,240,94,782,9,11,597,450,14,34,1,1370,,254
Брестская,Брест - Ленинский,Брест,"ул. Гоголя, 63, общежитие № 1 Брестского колледжа – филиала учреждения образования «Белорусский государственный университет транспорта»",22,01-010-0022,1564,1256,1256,330,89,837,17,25,622,518,21,49,4,1580,1,323
Брестская,Брест - Ленинский,Брест,"ул. Карбышева, 31, Ресурсный центр УО «Брестский государственный торгово-технологический колледж»",23,01-010-0023,1673,1395,1394,490,50,854,42,23,776,458,16,79,,,,
Брестская,Брест - Ленинский,Брест,"ул. Березовская, 7, ГУО «Ясли-сад № 79 г. Бреста»",25,01-010-0025,2217,1898,1898,320,40,1538,36,24,548,1107,36,130,17,2310,0,412
Брестская,Брест - Ленинский,Брест,"ул. Орджоникидзе, 14, ГУ «Брестская областная филармония»",27,01-010-0027,1407,1361,1360,409,59,892,19,9,761,465,10,90,6,1540,0,179
Брестская,Брест - Ленинский,Брест,"ул. Кижеватова, 9/1, Дом культуры транспортного РУП «Брестское отделение Белорусской железной дороги»",28,01-010-0028,1953,1659,1659,232,77,1350,33,35,374,764,29,424,,,,
Брестская,Брест - Ленинский,Брест,"ул. Красногвардейская, 92, филиал РУП «Брестэнерго» Брестские электрические сети",30,01-010-0030,1704,1339,1339,258,24,1057,18,15,778,417,13,98,,,,
Брестская,Брест - Ленинский,Брест,"ул. Красногвардейская, 125, УП «Брестводоканал»",31,01-010-0031,2017,1906,1906,676,23,1207,47,56,1012,610,65,116,,,,
Брестская,Брест - Ленинский,Брест,"ул. Красногвардейская, 59, ГУО «Средняя школа № 16 г. Бреста»",32,01-010-0032,1885,1870,1870,655,98,1117,47,33,920,711,37,107,15,1890,3,2
Брестская,Брест - Ленинский,Брест,"ул. Строительная, 21, ГУО « Средняя школа № 32 г. Бреста»",34,01-010-0034,2543,2048,2048,369,11,1668,46,18,535,1223,62,164,,,,
Брестская,Брест - Ленинский,Брест,"ул. Строительная, 21, ГУО «Средняя школа № 32 г. Бреста»",35,01-010-0035,2020,1939,1938,291,49,1598,26,24,608,1111,38,115,16,2060,1,120
Брестская,Брест - Ленинский,Брест,"ул. Смирнова, 63, ГУО «Гимназия № 3 г. Бреста»",36,01-010-0036,2065,1608,1608,300,51,1257,13,15,882,682,8,8,,,,
Брестская,Брест - Ленинский,Брест,"ул. Школьная, 8, УЗ «Брестская городская больница № 2»",37,01-010-0037,1509,1280,1280,403,41,836,29,23,524,543,24,137,,,,
Брестская,Брест - Ленинский,Брест,"ул. Дубровская, 14, ГУО «Гимназия № 5 г. Бреста»",40,01-010-0040,1820,1688,1688,640,19,1029,23,24,1008,557,28,48,,,,
Брестская,Брест - Ленинский,Брест,"ул. Старозадворская, 4, торговый центр «Вам Рад»",42,01-010-0042,1570,1279,1279,348,21,901,13,24,629,598,6,9,,1600,,321
Брестская,Брест - Ленинский,Брест,"ул. Наганова, 3, ГУО «Средняя школа № 9 г. Бреста»",44,01-010-0044,1370,1066,1065,319,21,725,21,11,472,473,27,56,5,1330,1,264
Брестская,Брест - Московский,Брест," административное здание, б-р Шевченко,4",3,01-011-0003,1512,1482,1482,547,25,910,22,47,1150,127,21,101,14,1515,1,32
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 15 г. Бреста», пр-т Машерова, 55",5,01-011-0005,979,944,944,363,58,523,15,8,708,143,21,43,6,982,1,37
Брестская,Брест - Московский,Брест," учреждение образования далее – УО «Брестский государственный колледж связи», ул. Кирова, 82",7,01-011-0007,2450,2139,2139,435,17,1687,22,19,841,1026,28,203,,,,
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 19 г. Бреста», ул. Сикорского, 86",8,01-011-0008,1570,1489,1486,503,46,937,32,16,1058,147,42,191,,,,
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 3 г. Бреста», б-р Космонавтов, 60",10,01-011-0010,2195,1858,1856,714,45,1097,44,19,1096,500,26,171,,,,
Брестская,Брест - Московский,Брест," Общежитие открытого акционерного общества далее – ОАО «Ковры Бреста», ул. Высокая, 22/1",15,01-011-0015,2543,2046,2044,425,58,1561,47,27,646,1113,42,158,11,2588,,542
Брестская,Брест - Московский,Брест," общежитие № 4 ОАО «Стройтрест» № 8, ул. Пионерская, 46/1",17,01-011-0017,1445,1223,1223,339,30,854,18,10,856,136,12,191,,,,
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 22 г. Бреста», ул. Янки Купалы, 20",20,01-011-0020,1678,1596,1595,593,96,906,14,17,1196,198,16,154,,,,
